Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-07-22 18:24:23,false,"Treadmill Running","5.50","387","0:32","144","158","2.4","144","156","5:49","5:15","--","--","1.21","8.2","9.9","312","--","387","0.0","377","440","4,556","-6","No","00:02:56.1","6","00:31:09","00:31:59","--","--"
Running,2025-07-20 15:02:39,false,"Arlington County Running","12.65","1,223","1:42","157","185","3.6","127","158","8:03","4:51","97","145","0.97","8.7","8.3","335","7:59","298","0.0","267","508","13,102","-20","No","00:06:30.9","13","01:37:17","01:44:56","2","73"
Treadmill Running,2025-07-17 21:12:49,false,"Treadmill Running","5.07","366","0:28","148","161","2.8","150","163","5:24","4:39","--","--","1.23","8.1","10.0","299","--","410","0.0","408","516","4,078","-5","No","00:00:24.3","6","00:27:21","00:27:23","--","--"
Treadmill Running,2025-07-16 20:26:05,false,"Treadmill Running","6.58","430","0:37","141","155","2.4","148","161","5:32","4:45","--","--","1.23","8.2","10.0","305","--","402","0.0","398","501","5,330","-5","No","00:03:20.3","7","00:35:59","00:36:24","--","--"
Treadmill Running,2025-07-15 21:36:30,false,"Treadmill Running","5.05","387","0:28","152","162","3.0","151","161","5:30","5:05","--","--","1.20","8.2","9.9","297","--","406","0.0","401","452","4,170","-5","No","00:00:26.7","6","00:27:30","00:27:50","--","--"
Running,2025-07-13 18:45:18,false,"Arlington County Running","8.22","742","0:56","153","173","3.3","144","161","6:44","3:07","67","104","1.03","8.8","9.1","323","6:40","345","0.0","331","804","7,978","-10","No","00:02:05.2","9","00:55:05","00:55:43","2","76"
Treadmill Running,2025-07-11 18:52:21,false,"Treadmill Running","5.36","365","0:29","145","156","2.6","153","165","5:22","4:25","--","--","1.23","8.0","9.8","288","--","416","0.0","407","540","4,340","-5","No","00:02:18.9","6","00:28:25","00:28:44","--","--"
Running,2025-07-10 20:30:04,false,"Arlington County Running","6.63","636","0:43","166","184","3.8","147","163","6:23","3:13","106","102","1.07","8.8","9.3","317","6:11","379","0.0","369","709","6,234","-10","No","00:04:20.5","7","00:42:11","00:42:21","9","81"
Treadmill Running,2025-07-09 20:45:36,false,"Treadmill Running","5.20","346","0:30","140","155","2.4","149","163","5:34","5:05","--","--","1.20","8.1","9.8","299","--","401","0.0","393","465","4,292","-5","No","00:01:30.9","6","00:28:50","00:29:00","--","--"
Treadmill Running,2025-07-06 09:45:32,false,"Treadmill Running","11.81","1,034","1:15","161","181","4.4","138","225","6:18","4:06","--","--","1.19","8.1","9.5","307","--","376","0.0","342","578","10,120","-19","No","00:05:28.0","12","01:10:03","01:14:25","--","--"
Treadmill Running,2025-07-04 12:32:52,false,"Treadmill Running","5.07","358","0:28","145","159","3.0","149","159","5:30","4:39","--","--","1.27","8.1","10.2","301","--","416","0.0","413","506","4,138","-7","No","00:01:23.9","6","00:27:42","00:27:56","--","--"
Treadmill Running,2025-07-01 17:56:34,false,"Treadmill Running","5.16","366","0:29","146","161","2.9","148","160","5:25","4:41","--","--","1.25","8.1","10.1","304","--","408","0.0","404","499","4,118","-7","No","00:00:53.4","6","00:27:47","00:28:01","--","--"
Treadmill Running,2025-06-28 11:01:04,false,"Treadmill Running","10.63","990","1:02","125","178","4.6","78","240","5:46","4:47","--","--","1.21","7.9","9.4","301","--","333","0.0","185","491","9,252","-19","No","00:05:14.9","11","01:02:54","02:03:22","--","--"
Treadmill Running,2025-06-26 18:03:05,false,"Treadmill Running","5.02","362","0:28","147","168","3.1","149","233","5:29","4:16","--","--","1.23","8.1","10.0","300","--","406","0.0","399","551","4,030","-6","No","00:00:26.4","6","00:27:03","00:27:34","--","--"
Treadmill Running,2025-06-25 18:31:29,false,"Treadmill Running","5.05","362","0:28","146","161","3.0","147","158","5:31","5:01","--","--","1.23","8.2","10.1","309","--","398","0.0","396","458","4,084","-6","No","00:00:16.8","6","00:27:49","00:27:56","--","--"
Treadmill Running,2025-06-24 08:18:37,false,"Treadmill Running","5.11","390","0:28","154","167","3.4","149","161","5:23","4:48","--","--","1.25","8.1","10.1","304","--","408","0.0","407","471","4,062","-11","No","00:00:34.0","6","00:27:28","00:27:29","--","--"
Treadmill Running,2025-06-22 11:39:22,false,"Treadmill Running","10.01","825","0:57","161","177","4.7","145","157","5:38","4:30","--","--","1.23","8.2","10.1","315","--","387","0.0","384","523","8,144","-18","No","00:00:07.4","11","00:55:51","00:57:04","--","--"
Running,2025-06-17 17:40:24,false,"Arlington County Running","6.01","542","0:38","155","173","3.7","144","156","6:17","4:58","96","89","1.10","8.6","9.5","326","6:08","374","0.0","366","507","5,436","-10","No","00:00:07.5","7","00:37:45","00:37:46","9","74"
Treadmill Running,2025-06-16 06:37:43,false,"Treadmill Running","5.09","319","0:29","138","156","2.4","146","161","5:34","4:41","--","--","1.24","8.2","10.1","310","--","396","0.0","390","490","4,096","-9","No","00:00:51.3","6","00:27:48","00:28:19","--","--"
Treadmill Running,2025-06-12 20:10:37,false,"Treadmill Running","5.00","405","0:29","154","171","3.5","145","155","5:38","5:19","--","--","1.07","8.8","9.4","325","--","338","0.0","336","443","4,078","-7","No","00:02:24.4","5","00:28:02","00:28:12","--","--"
Treadmill Running,2025-06-09 07:31:51,false,"Treadmill Running","5.00","354","0:29","141","163","3.0","145","158","5:44","5:54","--","--","1.06","8.8","9.2","328","--","334","0.0","331","381","4,138","-9","No","00:02:40.4","5","00:28:38","00:28:40","--","--"
Treadmill Running,2025-06-06 06:20:52,false,"Treadmill Running","5.02","444","0:33","150","167","3.4","145","158","6:31","5:47","--","--","1.06","8.8","9.3","326","--","333","0.0","330","380","4,712","-10","No","00:00:09.3","6","00:32:25","00:32:40","--","--"
Running,2025-06-04 18:06:40,false,"Arlington County Running","5.10","404","0:33","127","144","2.7","139","160","6:25","5:08","58","81","1.10","8.4","9.2","319","6:17","373","0.0","349","497","4,640","-5","No","00:00:47.3","6","00:32:35","00:32:44","11","73"
Running,2025-05-20 16:41:15,false,"Cartagena Running","7.18","673","0:46","164","182","3.8","138","187","6:17","4:01","4","6","1.14","8.4","9.5","320","6:13","368","0.0","349","599","6,240","-10","No","00:01:08.1","8","00:44:31","00:46:17","6","9"
Treadmill Running,2025-05-17 18:11:33,false,"Treadmill Running","4.00","291","0:26","135","168","2.4","136","225","6:28","5:08","--","--","1.10","8.6","9.1","324","--","336","0.0","308","440","3,496","-3","No","00:05:26.6","4","00:24:32","00:25:50","--","--"
Running,2025-05-14 17:54:13,false,"Arlington County Running","5.07","433","0:29","158","180","3.5","145","165","5:42","3:18","63","54","1.19","8.3","9.8","305","5:36","407","0.0","398","735","4,226","-7","No","00:00:22.1","6","00:28:35","00:30:50","21","81"
Running,2025-05-12 18:20:35,false,"Arlington County Running","10.03","921","0:59","167","187","5.0","144","231","5:51","3:13","110","99","1.18","8.3","9.8","311","5:43","406","0.0","396","813","8,462","-15","No","00:00:11.1","11","00:57:57","00:59:45","3","84"
Treadmill Running,2025-05-07 20:35:19,false,"Treadmill Running","5.02","417","0:31","149","172","3.4","148","165","6:00","4:50","--","--","1.13","8.5","9.6","312","--","368","0.0","365","487","4,440","-4","No","00:00:10.4","6","00:29:52","00:30:07","--","--"
Running,2025-05-06 18:55:00,false,"Arlington County Running","10.01","919","1:06","153","171","4.0","137","163","6:30","2:55","103","98","1.11","8.5","9.3","319","6:24","367","0.0","345","849","9,028","-15","No","00:00:05.2","11","01:03:23","01:05:01","1","78"
Running,2025-05-02 12:01:08,false,"Arlington County Running","5.01","464","0:32","151","176","3.5","138","161","6:23","3:31","79","81","1.12","8.4","9.3","317","6:14","388","0.0","361","725","4,456","-10","No","00:00:04.4","6","00:31:13","00:33:33","19","72"
Running,2025-04-26 12:36:38,false,"Arlington County Running","10.03","995","1:06","166","187","4.7","134","159","6:31","3:23","103","101","1.14","8.3","9.3","319","6:22","372","0.0","345","719","8,908","-17","No","00:00:18.6","11","01:04:28","01:05:48","3","80"
Running,2025-04-22 18:51:31,false,"Arlington County Running","6.02","550","0:38","149","174","3.2","143","231","6:17","4:16","98","90","1.12","8.5","9.5","326","6:10","376","0.0","368","684","5,358","-9","No","00:00:09.3","7","00:37:32","00:37:47","5","71"
Treadmill Running,2025-04-14 06:34:34,false,"Treadmill Running","5.03","383","0:31","138","164","2.7","148","161","6:04","4:41","--","--","1.12","8.6","9.6","316","--","370","0.0","366","509","4,486","-8","No","00:00:10.7","6","00:30:22","00:30:28","--","--"
Running,2025-04-10 18:04:35,false,"Arlington County Running","6.06","571","0:40","146","168","3.1","143","163","6:31","4:37","92","90","1.08","8.6","9.3","318","6:19","391","0.0","371","766","5,662","-9","No","00:00:29.1","7","00:38:36","00:40:27","10","75"
Treadmill Running,2025-04-09 18:16:34,false,"Treadmill Running","5.03","388","0:30","140","164","2.7","147","156","5:57","4:18","--","--","1.14","8.5","9.7","314","--","375","0.0","372","559","4,380","-5","No","00:00:10.9","6","00:29:52","00:29:53","--","--"
Running,2025-04-06 07:36:29,false,"Washington Running","16.36","1,500","1:32","162","184","5.0","149","160","5:37","4:10","33","34","1.20","8.2","9.8","304","5:36","414","0.0","409","556","13,572","-25","No","00:02:11.9","17","01:31:35","01:31:46","1","16"
Running,2025-04-03 18:02:53,false,"Arlington County Running","5.11","486","0:35","146","163","3.0","142","161","6:40","4:38","59","57","1.05","8.7","9.1","320","6:33","378","0.0","360","576","4,872","-8","No","00:00:42.5","6","00:33:21","00:34:31","53","81"
Running,2025-04-01 17:44:01,false,"Arlington County Running","13.01","1,216","1:19","153","176","4.3","137","177","6:04","3:53","81","120","1.19","8.2","9.8","304","5:59","402","0.0","376","728","10,932","-18","No","00:00:08.8","14","01:14:00","01:24:27","2","74"
Running,2025-03-29 09:10:27,false,"Washington Running","5.02","435","0:29","150","182","3.4","145","150","5:38","4:53","21","19","1.23","8.2","10.0","317","5:31","417","0.0","410","559","4,080","-7","No","00:00:11.5","6","00:28:09","00:28:17","2","14"
Running,2025-03-25 18:01:42,false,"Arlington County Running","10.08","980","1:09","145","168","3.6","138","160","6:47","3:23","105","107","1.06","8.7","9.2","321","6:40","362","0.0","342","812","9,574","-15","No","00:01:27.7","11","01:06:09","01:08:28","4","76"
Running,2025-03-23 10:19:53,false,"Arlington County Running","8.36","899","1:00","147","172","4.0","133","152","7:07","4:58","50","48","1.05","8.7","9.1","334","6:59","350","0.0","327","544","8,008","-12","No","00:03:13.7","9","00:56:30","00:59:35","-3","28"
Treadmill Running,2025-03-17 12:27:45,false,"Treadmill Running","5.02","409","0:32","135","169","3.1","141","160","6:17","4:46","--","--","1.15","8.4","9.6","320","--","370","0.0","354","508","4,456","-7","No","00:01:00.6","6","00:30:11","00:31:31","--","--"
